admin_dong_norm,rank_store_growth,total_store_change_pct,population_change_pct,convenience_change_pct,convenience_per_1000_last,avg_daily_inbound_movement_20260328_31,rank_convenience_density,rank_inbound_movement,share_20_39_last,share_60_plus_last
발산1동,1,55.12886864713798,-9.322520079274016,-4.0,0.1725476662928134,21796.30875,8,3,22.80217410059529,24.0560204756564
가양1동,2,41.696166302628605,-1.2275927350174525,66.66666666666666,0.5240933185588932,32189.755,1,1,48.98325896199575,17.657452606989906
방화1동,3,15.45833977430824,-11.788958461945498,152.63157894736844,0.2999325151840836,17355.661875,5,5,23.699667574795672,27.878727286360565
등촌3동,4,9.871775065657346,-11.59702878365831,39.285714285714285,0.3413506984560445,25008.09625,4,2,26.026677869971643,37.88117494660925
방화3동,5,9.051490514905147,-12.175558389206532,0.0,0.234181068802398,8382.805625,7,8,23.375954287855368,37.46897100838368
공항동,6,5.85095462943954,4.793219348239076,57.57575757575758,0.4532143355180588,20963.2595,2,4,28.04002231209036,23.528796541625997
우장산동,7,4.2001235330450895,-2.070528063170173,19.444444444444446,0.246248997823846,13356.805625,6,7,24.290459283014545,22.9756041690528
방화2동,8,1.994704324801412,-4.0268173385056505,5.555555555555555,0.4173806071789465,16147.4315,3,6,29.827336233030184,33.75950090066341
