final_rank,admin_dong_norm,final_score,total_store_change_pct,convenience_per_1000_last,avg_daily_inbound_movement_20260328_31,subway_monthly_total_riders,business_workers_2023,hospital_clinic_count_gangseo_1km,magok_backing_company_equivalent,airport_backing_passenger_equivalent
1,발산1동,70.341443247091,55.12886864713798,0.1725476662928134,21796.30875,3466883.0,36795.0,247,202.0,151910761.6
2,가양1동,63.7138403340396,41.696166302628605,0.5240933185588932,32189.755,2531775.0,78453.0,76,202.0,189888452.0
3,우장산동,43.44745871606118,4.2001235330450895,0.246248997823846,13356.805625,4200518.0,7410.0,223,70.69999999999999,75955380.8
4,공항동,39.39498515657538,5.85095462943954,0.4532143355180588,20963.2595,2431835.0,34921.0,86,50.5,759553808.0
5,등촌3동,33.27001119777649,9.871775065657346,0.3413506984560445,25008.09625,1247958.0,22871.0,225,70.69999999999999,75955380.8
6,방화1동,29.65828554774359,15.45833977430824,0.2999325151840836,17355.661875,2681825.0,13124.0,118,30.299999999999997,569665356.0
7,방화2동,29.34682803673366,1.994704324801412,0.4173806071789465,16147.4315,2439811.0,12712.0,110,20.200000000000003,493709975.2
8,방화3동,21.305233648414912,9.051490514905147,0.234181068802398,8382.805625,823204.0,4868.0,76,20.200000000000003,341799213.6
