기업명,업종,분야,기업규모,주소
㈜한국카본,환경,단열패널 등,중견,서울특별시 강서구 마곡중앙8로1길 54
유한테크노스㈜,정보기술,국제물류시스템,중소,서울특별시 강서구 마곡중앙8로1길 50
㈜케이케이디씨,정보기술,LED조명,중소,서울특별시 강서구 마곡동로8길 28
㈜제놀루션,연구개발,"핵산추출기기, 핵산추출시약, RNAi합성",중소,서울특별시 강서구 마곡중앙8로3길 63
㈜에스에스테크널러지,연구개발,"기술 시험, 검사",중소,서울특별시 강서구 마곡중앙8로3길 61
㈜엘켐텍,환경,전기화학장치/환경설비 제조,중소,서울특별시 강서구 마곡중앙8로3길 57
㈜휴인스,정보기술,"SOC, 드론, IoT, 로봇 등",중소,서울특별시 강서구 마곡중앙8로3길 55
㈜메인텍,연구개발,물류자동화시스템,중소,서울특별시 강서구 마곡중앙8로3길 53
트라이콤텍㈜,정보기술,smartDSRC 외,중소,서울특별시 강서구 마곡중앙8로3길 49
㈜에코앤컴퍼니,정보기술,인터넷마케팅 소프트웨어,중소,서울특별시 강서구 마곡중앙8로1길 42 4층
㈜씨에이치씨랩,정보기술,흄후드 생물안전작업대,중소,서울특별시 강서구 마곡중앙8로1길 38
㈜월드튜브,바이오,그래핀 소재,중소,서울특별시 강서구 마곡중앙8로1길 36
㈜한보이앤씨,연구개발,IT상품 케이스,중소,서울특별시 강서구 마곡중앙10로 77
나무기술㈜,정보기술,소프트웨어,중소,서울특별시 강서구 마곡중앙8로3길 41
㈜팜스빌,바이오,건강기능성 식품,중소,서울특별시 강서구 마곡중앙8로3길 37
㈜비에이치이브이에스,정보기술,차량용 내 무선충전기,중견,서울특별시 강서구 마곡중앙8로3길 35
㈜엔터미디어,정보기술,노래반주기,중소,서울특별시 강서구 마곡중앙8로3길 31
㈜제이스텍,정보기술,Flexible OLED,중소,서울특별시 강서구 마곡중앙8로5길 46
㈜엑셈,정보기술,"지능형 성능 모니터링, 빅데이터, AI, 클라우드",중소,서울특별시 강서구 마곡중앙8로5길 40
㈜아워홈,연구개발,식품개발,중견,서울특별시 강서구 마곡중앙10로 91
코위버㈜,정보기술,광전송장치,중소,서울특별시 강서구 마곡중앙8로7길 45
디와이피엔에프㈜,연구개발,소재가공시스템,중소,서울특별시 강서구 마곡중앙8로7길 39
㈜한성,정보기술,컴퓨터 외,중소,서울특별시 강서구 마곡중앙8로 7길 35
세일정기㈜,연구개발,전기 소재 외,중소,서울특별시 강서구 마곡중앙10로 97
LG전자㈜,연구개발,"소프트웨어, 차세대통신기술 등",대,서울특별시 강서구 마곡중앙10로 10
㈜LG화학,연구개발,기능성 소재 및 광학용 소재 개발 등,대,서울특별시 강서구 마곡중앙10로 70
LG이노텍㈜,정보기술,"Led Chip, Package, BLU 관련 기술 등",대,서울특별시 강서구 마곡중앙10로 30
LG디스플레이㈜,연구개발,"차세대 OLED, AMOLED 등",대,서울특별시 강서구 마곡중앙10로 30
㈜LG에너지솔루션,연구개발,축전지 제조,대,서울특별시 강서구 마곡중앙10로 30
㈜LX하우시스,연구개발,건축자재 및 고기능 소재,대,서울특별시 강서구 마곡중앙10로 30
㈜LG유플러스,정보기술,통신기반 인프라 기술 등,대,서울특별시 강서구 마곡중앙8로 71
㈜LG생활건강,바이오,친환경/저자극 소재 개발 등,대,서울특별시 강서구 마곡중앙10로 70
㈜LGCNS,정보기술,"모바일, 클라우드 플랫폼 등",대,"서울특별시 강서구 마곡중앙10로 70, 서울특별시 강서구 마곡중앙8로 71"
㈜LX글라스,연구개발,"코팅유리, 가공유리 제조",대,"서울시 서초구 효령로 72길 60, 7,8층"
㈜캐스트윈,정보기술,동영상 인코더용 알고리즘 개발 외,중소,서울특별시 강서구 마곡중앙8로1길 26
㈜프리즘,정보기술,전기조명장치,중소,서울특별시 강서구 마곡중앙8로1길 20
웰스바이오㈜,바이오,체외진단기기,중소,서울특별시 강서구 마곡중앙8로1길 16
센서텍㈜,정보기술,초음파센서,중소,서울특별시 강서구 마곡중앙10로 80
㈜케이티앤에프,정보기술,보안네트워크 서버,중소,서울특별시 강서구 마곡중앙8로3길 21
㈜고려에스엠티,정보기술,Seal 디자인 등,중소,서울특별시 강서구 마곡중앙8로3길 15
삼진제약㈜,연구개발,게보린 외,대,서울특별시 강서구 마곡중앙10로 90
㈜헬릭스미스,연구개발,바이오 신약,중소,서울특별시 강서구 마곡중앙8로 7길 21
㈜코콤,정보기술,유무선 통신장비,중소,서울특별시 강서구 마곡중앙8로5길 16 코콤 블루랩(Blue Lab)
㈜코콤텍,정보기술,LED 조명,중소,서울특별시 강서구 마곡중앙8로5길 16
㈜뉴파워프라즈마,정보기술,"전기, 전자부품 개발/생산",중소,서울특별시 강서구 마곡중앙10로 96
㈜상원이엔씨,환경,수처리용 여과장치 터번,중소,서울특별시 강서구 마곡중앙8로7길 15
메이비원㈜,정보기술,사진이미지 통합관리플랫폼,중소,서울특별시 강서구 마곡중앙8로1길 6
㈜원봉,연구개발,"정수기, 냉온수기",중소,서울특별시 강서구 마곡중앙8로 77
㈜소룩스,나노,LED 조명,중소,서울특별시 강서구 마곡중앙8로3길 5
이사케이㈜,정보기술,"전기, 전자제어",중소,서울특별시 강서구 마곡중앙8로 79
㈜디투엔지니어링,정보기술,"전기철도 자재, 전력기기 자재",중소,서울특별시 강서구 마곡중앙8로5길 12
㈜케이비텍,연구개발,LED 조명시스템,중소,서울특별시 강서구 마곡중앙8로5길 8
화천기공㈜,나노,공작기계,대,서울특별시 강서구 마곡중앙8로5길 2
㈜디지캡,정보기술,"소프트웨어, 기업용 솔루션",중소,서울특별시 강서구 마곡중앙8로7길 11
㈜코비젼,정보기술,"소프트웨어, 기업용 솔루션",중소,서울특별시 강서구 마곡중앙8로7길 11
㈜드림시큐리티,정보기술,"인증솔루션, 보안솔루션",중견,서울특별시 강서구 마곡중앙8로7길 11
㈜이노시뮬레이션,정보기술,가상현실기반 체감형 시뮬레이터,중소,서울특별시 강서구 마곡동 792-10
테고사이언스㈜,바이오,인공피부,중소,서울특별시 강서구 마곡중앙8로 93
㈜귀뚜라미,연구개발,냉난방기구 외,대,서울특별시 강서구 마곡중앙로 86
㈜나노켐,연구개발,냉난방기구 외,대,서울특별시 강서구 마곡중앙로 86
㈜귀뚜라미범양냉방,연구개발,냉난방기구 외,대,서울특별시 강서구 마곡중앙로 86
㈜신성엔지니어링,연구개발,냉난방기구 외,대,서울특별시 강서구 마곡중앙로 86
㈜센추리,연구개발,냉난방기구 외,대,서울특별시 강서구 마곡중앙로 86
희성전자㈜,정보기술,"BLU, TSP, LED",대,서울특별시 강서구 마곡중앙8로 20 희성그룹마곡통합연구센터
LT메탈㈜,정보기술,"반도체 소재, 연료전지, LED",대,서울특별시 강서구 마곡중앙8로 20
희성정밀㈜,환경,"AL 단조부품, 전기자동차용 Battery Cooling System",대,서울특별시 강서구 마곡동 마곡중앙8로 20
㈜희성화학,바이오,기타 건축용 플라스틱 조립제품 제조업,대,서울특별시 강서구 마곡중앙8로 20
LT소재㈜,연구개발,전자부품 소재,대,서울특별시 강서구 마곡중앙8로 20
"㈜씨지인바이츠
(구: 크리스탈지노믹스㈜)",바이오,구조분석기반기술,중소,"서울특별시 강서구 마곡동 805-1,2,40"
범한산업㈜,정보기술,연료전지,중소,서울특별시 강서구 마곡중앙8로 68 범한기술원
㈜원우이엔지,정보기술,영상신호처리 기술 등,중소,서울특별시 강서구 마곡중앙6로 81
한맥콘트롤즈㈜,정보기술,비젼시스템,중소,서울특별시 강서구 마곡중앙4로 40
엘앤피코스메틱㈜,바이오,화장품 제형 및 소재개발,중소,서울특별시 강서구 마곡중앙4로 44
㈜다산씨엔텍,바이오,줄기세포배양액 응용 화장품,중소,서울특별시 강서구 마곡중앙4로 46
㈜네오디씨티이엔지,연구개발,에너니절감 시스템,중소,서울특별시 강서구 마곡중앙4로 50
(사)한국의약품수출입협회,연구개발,의약품 등 시험 검사,중소,서울특별시 강서구 마곡동로 33
㈜평안,연구개발,디지털날염 등,중소,서울특별시 강서구 마곡동로 31
㈜지엔씨에너지,정보기술,비상발전기,중소,서울특별시 강서구 마곡중앙2로 49
㈜진성테크,정보기술,아울렛박스,중소,서울특별시 강서구 마곡중앙2로 45
㈜디오,바이오,치과용 임플란트,중소,서울특별시 강서구 마곡중앙2로 41
㈜호디,정보기술,도서관리 시스템 외,중소,서울특별시 강서구 마곡중앙2로 39
파이언넷㈜,정보기술,인터넷쇼핑몰 소프트웨어,중소,서울특별시 강서구 마곡동로 36
㈜사이냅소프트,정보기술,AI기반 디지털 문서 솔루션,중소,서울특별시 강서구 마곡중앙4로 62
㈜매스씨앤지,연구개발,콘텐츠개발,중소,서울특별시 강서구 마곡중앙4로 66 매스씨앤지 신사옥
㈜피플앤코,바이오,화장품,중소,서울특별시 강서구 마곡중앙4로 70
KH에너지㈜,환경,실내환경서비스 및 솔루션,대,서울특별시 강서구 마곡중앙2로 75-5 KH에너지 R&D센터
㈜리소텍,환경,실내환경서비스 및 솔루션,중소,서울특별시 강서구 마곡중앙2로 75-5
㈜메저먼트코리아,환경,실내환경서비스 및 솔루션,중소,서울특별시 강서구 마곡중앙2로 75-5
㈜베리미디어,정보기술,방송프로그램,중소,서울특별시 강서구 마곡중앙2로 69
