admin_dong_norm,score_base_balanced,rank_base_balanced,score_growth_demand_focused,rank_growth_demand_focused,score_competition_risk_focused,rank_competition_risk_focused,score_backing_facility_focused,rank_backing_facility_focused
발산1동,70.341443247091,1,71.3638960939105,1,73.12543966054754,1,68.34957925135498,1
가양1동,63.7138403340396,2,65.86564896611034,2,57.74010146514861,2,65.4800623958223,2
우장산동,43.44745871606118,3,41.089402806731016,3,48.004050601628194,3,41.8776004872033,3
공항동,39.39498515657538,4,39.27439982008768,4,38.566880475261144,4,39.99411156300365,4
등촌3동,33.27001119777649,5,32.96824910616269,5,36.134636536702125,5,33.889419378498346,5
방화1동,29.65828554774359,6,29.786206588202447,6,30.911748447400754,7,28.62850194990756,6
방화2동,29.34682803673366,7,27.95520909400604,7,31.752622589359735,6,28.449816903109443,7
방화3동,21.305233648414912,8,17.369841566629713,8,29.503332237284084,8,17.042457432850476,8
