admin_dong_norm,상권성장,편의점경쟁,유동인구,인구구조,배후시설,final_score,final_rank
발산1동,79.20336448811604,100.0,65.11670724275285,23.87101479447884,69.68304228669793,70.341443247091,1
가양1동,72.16902883683207,16.465053763440864,80.23585606786932,92.90365849984565,61.9792619179635,63.7138403340396,2
우장산동,18.000677478195986,80.83417532120724,52.53583545287814,36.86345579646999,33.71884411112299,43.44745871606118,3
공항동,30.44317910211825,32.31972552910397,50.75836558237437,51.29352588514256,37.37271637989382,39.39498515657538,4
등촌3동,11.970996686026975,58.09721933066673,46.93093519679391,6.839954384430307,41.228189815565386,33.27001119777649,5
방화1동,19.573782410869626,44.63504564795524,44.627050891897525,17.007366845634735,21.8065780510521,29.65828554774359,6
방화2동,12.005492052498813,49.418507689772895,38.71563227452543,29.13499549180367,21.741888534893686,29.34682803673366,7
방화3동,9.960803392842484,86.96138758511297,0.0,1.7072574434335401,5.833333333333334,21.305233648414912,8
