candidate_store_id,store_name,store_road_address,recommended_public_facility_program,facility_name,facility_category,facility_road_address,facility_longitude,facility_latitude,distance_m,is_target_category_for_program,source
GS_CONV_0398,세븐일레븐S,서울특별시 강서구 공항대로 267,청년·직장인 생활지원형 공공시설,무척바른한방병원,의료,서울특별시 강서구 공항대로 228,126.83271,37.558575,408.2,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,발산파크프라자,기타시설,서울특별시 강서구 공항대로 261,126.83652,37.559162,1.1,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,힐스테이트에코마곡,기타시설,서울특별시 강서구 공항대로 269-15,126.837265,37.559624,84.4,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,미소랑치과의원,의료,서울특별시 강서구 공항대로 247,126.83489,37.55935,144.7,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,면력한방병원,의료,서울특별시 강서구 마곡중앙6로 93,126.8377,37.560127,150.5,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,우성에스비타워,기타시설,서울특별시 강서구 강서로 385,126.83828,37.560074,186.4,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,이화여자대학교의과대학부속서울병원,의료,서울특별시 강서구 공항대로 260,126.83613,37.557346,203.8,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,로고스치과병원,의료,서울특별시 강서구 공항대로 281,126.83885,37.558834,209.0,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,세민빌딩,기타시설,서울특별시 강서구 강서로 380,126.83887,37.55947,210.7,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,심정신건강의학과의원,의료,서울특별시 강서구 마곡중앙6로 66,126.83435,37.55997,211.2,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,문영비즈웍스,기타시설,서울특별시 강서구 강서로 391,126.83843,37.560528,227.8,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,솔레드림,기타시설,서울특별시 강서구 강서로 360,126.83831,37.557674,228.4,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
