dong,one_person_households,share_of_gangseo_pct,magok_related_flag
염창동,4250,3.981339228838011,False
등촌1동,7502,7.027766328174767,False
등촌2동,2694,2.5237006782328475,False
등촌3동,6652,6.231498482407165,False
화곡본동,7387,6.920035972570915,False
화곡1동,12824,12.01333982838086,False
화곡2동,2853,2.672649604676434,False
화곡3동,3197,2.994903885787087,False
화곡4동,3408,3.1925656686776334,False
화곡6동,5857,5.48675385018923,False
화곡8동,4205,3.9391838722973733,False
우장산동,3494,3.273129238955297,False
가양1동,12797,11.988046614456477,True
가양2동,4266,3.99632780005246,False
가양3동,3472,3.252519953535429,False
발산1동,2661,2.4927867501030465,True
공항동,5069,4.748566717877618,True
방화1동,4397,4.119046726870761,True
방화2동,5184,4.85629707348147,False
방화3동,4579,4.289541724435118,False
