candidate_store_id,store_name,brand,admin_dong,road_address,jibun_address,longitude,latitude,candidate_public_facility_direction,store_context_exploration_score,score_transit_access,score_public_health_need,score_worker_flow_need,score_site_feasibility_pool,nearest_subway_station_name,nearest_subway_station_distance_m,subway_station_count_500m,subway_station_count_800m,nearest_medical_name,nearest_medical_distance_m,medical_count_500m,medical_count_800m,other_convenience_count_250m,other_convenience_count_500m,nearest_other_convenience_distance_m,nearest_magok_business_axis_name,nearest_magok_business_axis_distance_m,nearest_gimpo_airport_axis_name,nearest_gimpo_airport_axis_distance_m,resident_population,households,avg_household_size,share_20_39_pct,share_60_plus_pct,inbound_to_candidate,outbound_from_candidate,candidate_internal_or_between,final_score,final_rank,source_store_id,sido,sigungu,legal_dong,address,biz_l1,biz_l2,biz_l3,ksic_name,is_known_chain_brand,other_convenience_count_100m,other_convenience_count_800m,medical_count_300m,medical_count_1000m,subway_station_count_300m,subway_station_count_1000m,magok_business_axis_count_500m,magok_business_axis_count_1000m,magok_business_axis_count_1500m,magok_business_axis_count_2000m,gimpo_airport_axis_count_500m,gimpo_airport_axis_count_1000m,gimpo_airport_axis_count_1500m,gimpo_airport_axis_count_2000m
GS_CONV_0236,이마트24마곡,이마트24,가양1동,서울특별시 강서구 공항대로 247,서울특별시 강서구 마곡동 797-1,126.835233769379,37.5593139845563,청년·직장인 생활지원/쉼터형 공공시설,0.6724973437391204,0.521565538048944,0.36944444444444446,0.8982501906764384,0.9007292017866548,발산(5호선),228.9,1,1,오라클피부과의원(마곡점),0.5,133,179,15,39,56.1,발산(5호선),228.9,김포공항(서해선),2757.1,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220812347717,서울특별시,강서구,마곡동,서울특별시 강서구 공항대로 247,소매,종합 소매,편의점,체인화 편의점,True,2,70,84,251,1,3,1,3,4,4,0,0,0,0
GS_CONV_0283,씨유마곡엠팰리체점,CU,가양1동,서울특별시 강서구 마곡동로4길 15,서울특별시 강서구 마곡동 797-10,126.835255294219,37.55981857238,청년·직장인 생활지원/쉼터형 공공시설,0.6711228965570597,0.5129366409654711,0.3666666666666667,0.8962045313549009,0.9086837472412003,발산(5호선),252.3,1,1,오라클피부과의원(마곡점),56.2,132,171,14,40,56.1,발산(5호선),252.3,김포공항(서해선),2754.1,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220812458435,서울특별시,강서구,마곡동,서울특별시 강서구 마곡동로4길 15,소매,종합 소매,편의점,체인화 편의점,True,2,70,90,251,1,3,1,3,4,4,0,0,0,0
GS_CONV_0313,세븐일레븐마곡호서대기숙사점,세븐일레븐,가양1동,서울특별시 강서구 강서로 399,서울특별시 강서구 마곡동 793-8,126.838670148952,37.5612919112693,청년·직장인 생활지원/쉼터형 공공시설,0.6591085518494528,0.49081126382836077,0.33611111111111114,0.881877211749327,0.9276346207090124,발산(5호선),312.3,1,1,데이뷰의원강서발산점,0.5,121,184,19,40,0.0,발산(5호선),312.3,김포공항(서해선),3047.5,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA0101202301A0040066,서울특별시,강서구,마곡동,서울특별시 강서구 강서로 399,소매,종합 소매,편의점,체인화 편의점,True,1,73,73,211,0,2,1,1,4,4,0,0,0,0
GS_CONV_0305,세븐마곡호서대기숙사점,세븐일레븐,가양1동,서울특별시 강서구 강서로 399,서울특별시 강서구 마곡동 793-8,126.838670148952,37.5612919112693,청년·직장인 생활지원/쉼터형 공공시설,0.6591085518494528,0.49081126382836077,0.33611111111111114,0.881877211749327,0.9276346207090124,발산(5호선),312.3,1,1,데이뷰의원강서발산점,0.5,121,184,19,40,0.0,발산(5호선),312.3,김포공항(서해선),3047.5,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220808321772,서울특별시,강서구,마곡동,서울특별시 강서구 강서로 399,소매,종합 소매,편의점,체인화 편의점,True,1,73,73,211,0,2,1,1,4,4,0,0,0,0
GS_CONV_0185,지에스25마곡,GS25,가양1동,서울특별시 강서구 마곡동로 61,서울특별시 강서구 마곡동 772-8,126.833159685554,37.5606175160608,청년·직장인 생활지원/쉼터형 공공시설,0.6574143990289079,0.5376366074421723,0.3111111111111111,0.883288483902322,0.8976213936600261,발산(5호선),456.5,1,3,마곡휴연합의원,0.0,112,197,8,39,65.3,발산(5호선),456.5,김포공항(서해선),2564.3,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220810479521,서울특별시,강서구,마곡동,서울특별시 강서구 마곡동로 61,소매,종합 소매,편의점,체인화 편의점,True,1,72,29,241,0,4,1,4,4,4,0,0,0,0
GS_CONV_0141,GS25마곡,GS25,가양1동,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,126.827501108791,37.5604111652286,청년·직장인 생활지원/쉼터형 공공시설,0.6559201432401114,0.638602078444519,0.21111111111111114,0.9232625299172895,0.8507048534875261,마곡(5호선),182.7,1,3,딱경희한의원,1.9,76,122,7,33,62.9,마곡(5호선),182.7,김포공항(서해선),2067.7,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220809954565,서울특별시,강서구,마곡동,서울특별시 강서구 마곡중앙로 76,소매,종합 소매,편의점,체인화 편의점,True,1,52,58,221,1,4,1,4,4,4,0,0,0,0
GS_CONV_0050,씨유마곡,CU,가양1동,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,126.828214207087,37.5603851750565,청년·직장인 생활지원/쉼터형 공공시설,0.6482921240624493,0.6156654374790479,0.21111111111111114,0.9156870941721121,0.8507048534875261,마곡(5호선),244.9,1,3,포레스트치과의원,0.6,76,124,7,33,62.9,마곡(5호선),244.9,김포공항(서해선),2130.6,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220808448698,서울특별시,강서구,마곡동,서울특별시 강서구 마곡중앙6로 10,소매,종합 소매,편의점,체인화 편의점,True,1,53,51,250,1,4,1,4,4,4,0,0,0,0
GS_CONV_0472,GS25마곡엘리안점,GS25,가양1동,서울특별시 강서구 강서로 409,서울특별시 강서구 마곡동 793-4,126.838951222104,37.5621662608922,청년·직장인 생활지원/쉼터형 공공시설,0.645585918493806,0.5038250083808247,0.3027777777777778,0.8719699034712455,0.903770984345376,발산(5호선),412.6,1,2,데이뷰의원강서발산점,100.6,109,178,15,37,0.0,발산(5호선),412.6,김포공항(서해선),3072.4,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA0106202308A1284659,서울특별시,강서구,마곡동,서울특별시 강서구 강서로 409,소매,종합 소매,편의점,슈퍼마켓,True,2,74,48,202,0,2,1,1,4,4,0,0,0,0
GS_CONV_0352,지에스25마곡엘리안점,GS25,가양1동,서울특별시 강서구 강서로 409,서울특별시 강서구 마곡동 793-4,126.838951222104,37.5621662608922,청년·직장인 생활지원/쉼터형 공공시설,0.645585918493806,0.5038250083808247,0.3027777777777778,0.8719699034712455,0.903770984345376,발산(5호선),412.6,1,2,데이뷰의원강서발산점,100.6,109,178,15,37,0.0,발산(5호선),412.6,김포공항(서해선),3072.4,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA0101202307A0044751,서울특별시,강서구,마곡동,서울특별시 강서구 강서로 409,소매,종합 소매,편의점,체인화 편의점,True,2,74,48,202,0,2,1,1,4,4,0,0,0,0
GS_CONV_0325,세븐마곡이너매스점,세븐일레븐,가양1동,서울특별시 강서구 마곡중앙6로 21,서울특별시 강서구 마곡동 771-4,126.82961663774,37.5608286951995,청년·직장인 생활지원/쉼터형 공공시설,0.6445242134791666,0.6179114984914515,0.22777777777777777,0.9002275023929702,0.8321800752544669,마곡(5호선),374.4,1,4,서울디아치과의원,0.8,82,173,9,28,0.0,마곡(5호선),374.4,김포공항(서해선),2251.2,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA0101202211A0069058,서울특별시,강서구,마곡동,서울특별시 강서구 마곡중앙6로 21,소매,종합 소매,편의점,체인화 편의점,True,2,60,20,259,0,4,1,4,4,4,0,0,0,0
