admin_dong,store_count,brand_count
가양1동,73,5
화곡1동,50,6
공항동,42,5
발산1동,35,5
화곡본동,31,4
방화1동,31,5
방화2동,30,6
등촌3동,29,4
등촌1동,28,5
화곡6동,27,4
염창동,26,5
우장산동,20,4
화곡4동,17,5
화곡3동,14,5
방화3동,14,6
등촌2동,14,6
화곡8동,14,4
화곡2동,12,4
가양3동,10,5
가양2동,7,5
