admin_dong,resident_population_2026,resident_population_2030_projection,resident_population_annual_change,households_2026,households_2030_projection,households_annual_change,pop_20_39_2026,pop_20_39_2030_projection,pop_20_39_annual_change,pop_60_plus_2026,pop_60_plus_2030_projection,pop_60_plus_annual_change,share_20_39_pct_2026,share_20_39_pct_2030_projection,share_20_39_pct_annual_change,share_60_plus_pct_2026,share_60_plus_pct_2030_projection,share_60_plus_pct_annual_change,avg_household_size_2026,avg_household_size_2030_projection,avg_household_size_annual_change
가양1동,33302.0,32991.78571428577,-108.01190476189731,21037.0,22340.071428571246,236.39285714285353,16178.0,16298.107142857174,-36.702380952375925,5955.0,6795.499999999884,182.41666666665984,48.57966488499189,49.38739832162998,0.047709985937208724,17.881808900366345,20.514332587825947,0.5930932002651028,1.5830203926415365,1.4598970943806222,-0.024716559181983323
가양2동,12849.0,11401.571428571595,-310.27380952379895,7901.0,7808.357142857152,-27.03571428571288,3214.0,2375.714285714319,-176.07142857142324,6159.0,6690.535714285623,96.90476190475951,25.01361973694451,21.8710198186493,-0.6627328655630883,47.9336913378473,56.08055004008338,1.6578391289312369,1.6262498417921782,1.465804426283853,-0.03298379291631876
가양3동,13318.0,11401.250000000116,-408.33333333331825,7529.0,7263.535714285739,-63.76190476190172,3884.0,2879.6071428572177,-203.61904761904054,5280.0,5591.357142857145,55.96428571428436,29.163538068779093,26.361074684853065,-0.5364357054547256,39.64559243129599,46.274617353001304,1.37446457795655,1.7688936113693718,1.5868256017366917,-0.03731788032124188
공항동,28496.0,29984.42857142852,137.44047619047353,13739.0,14556.39285714284,129.95238095237642,7948.0,7191.178571428696,-204.0595238095164,6805.0,7751.285714285565,183.15476190475547,27.89163391353172,23.5916929161217,-0.8759898046446694,23.880544637843908,26.07299453192354,0.5401871029267077,2.0740956401484825,2.0557169600191614,-0.010104077695706957
등촌1동,24904.0,25961.999999999884,189.2499999999958,14335.0,15880.714285714203,280.26190476189953,11074.0,11756.28571428571,90.57142857143059,5023.0,5692.035714285623,153.4880952380894,44.46675232894314,45.33387821888252,0.027771473447548028,20.169450690652106,22.13029834662882,0.48628666897831313,1.7372863620509242,1.6060688569791566,-0.023800313370655423
등촌2동,18917.0,16867.821428571362,-405.94047619046404,8636.0,8512.96428571429,-16.821428571427923,5718.0,4772.142857143015,-199.8809523809453,5558.0,6163.6785714285215,143.27380952380355,30.226780144843264,28.770883008431042,-0.3579636060292859,29.380980070835754,34.870246546680846,1.223737480599271,2.1904817044928206,1.987061189161821,-0.042311914127925725
등촌3동,28464.0,25801.000000000233,-553.8333333333144,15042.0,15219.28571428571,25.321428571429543,7435.0,6208.571428571537,-250.9404761904668,10856.0,12137.499999999884,262.66666666665816,26.12071388420461,24.464095060193813,-0.33491881297231474,38.13940415964025,45.22998565867874,1.4849378031433436,1.892301555644196,1.6901887533339277,-0.04045409364641481
발산1동,34554.0,32126.60714285751,-520.36904761903,13558.0,13600.642857142851,9.53571428571426,7928.0,6745.535714285797,-219.76190476189828,8426.0,9661.749999999884,267.9166666666564,22.94379811309834,21.27307003267083,-0.2667873595196062,24.385020547548763,29.130012121756863,1.0413169218634806,2.548605989083936,2.3611308603812518,-0.04027933569817853
방화1동,40380.0,36912.35714285751,-729.619047619023,16797.0,16317.60714285716,-112.03571428571013,9459.0,7460.107142857276,-433.1190476190336,11427.0,12726.999999999884,307.2499999999889,23.424962852897472,20.844457950582637,-0.5822102953183255,28.298662704309063,33.26468223842812,1.142505752230212,2.404000714413288,2.2716609750019074,-0.026373097343184805
방화2동,22559.0,21964.71428571426,-141.07142857142608,12387.0,13019.321428571391,125.5595238095183,6672.0,6550.785714285696,-49.01190476190533,7733.0,8440.464285714203,169.261904761898,29.57577906822111,29.82922972127107,-0.029171538095188486,34.27900172880003,38.10495970453735,0.9235784788356476,1.821183498829418,1.669339571051168,-0.031828617586221714
