admin_dong_norm,first_year,last_year,total_store_first,total_store_last,total_store_change_pct,convenience_first,convenience_last,convenience_change_pct,population_first,population_last,population_change_pct,share_20_39_last,share_60_plus_last,convenience_per_1000_last
발산1동,2019,2025,2415.25,3746.75,55.12886864713798,6.25,6.0,-4.0,38348,34773,-9.322520079274017,22.80217410059529,24.0560204756564,0.1725476662928134
가양1동,2019,2025,3319.25,4703.25,41.696166302628605,10.5,17.5,66.66666666666666,33806,33391,-1.2275927350174525,48.983258961995745,17.657452606989906,0.5240933185588932
방화1동,2019,2025,1617.25,1867.25,15.45833977430824,4.75,12.0,152.63157894736844,45356,40009,-11.788958461945498,23.699667574795672,27.878727286360565,0.2999325151840836
등촌3동,2019,2025,1618.25,1778.0,9.871775065657346,7.0,9.75,39.285714285714285,32310,28563,-11.59702878365831,26.026677869971643,37.88117494660925,0.34135069845604454
방화3동,2019,2025,461.25,503.0,9.051490514905149,5.0,5.0,0.0,24311,21351,-12.175558389206532,23.375954287855368,37.46897100838368,0.23418106880239803
공항동,2019,2025,1217.75,1289.0,5.85095462943954,8.25,13.0,57.57575757575758,27372,28684,4.793219348239076,28.04002231209036,23.528796541625994,0.45321433551805884
우장산동,2019,2025,1214.25,1265.25,4.2001235330450895,9.0,10.75,19.444444444444446,44578,43655,-2.0705280631701735,24.290459283014545,22.9756041690528,0.24624899782384607
방화2동,2019,2025,1416.25,1444.5,1.994704324801412,9.0,9.5,5.555555555555555,23716,22761,-4.0268173385056505,29.827336233030184,33.75950090066341,0.4173806071789465
