요일구분,피크시간,피크_마곡권_생활인구,최저시간,최저_마곡권_생활인구,주간_9_18시_평균,야간_19_08시_평균,주간_야간_배율
주말,13,143309.06352222222,0,131952.38026666667,140545.17428,134675.77643412698,1.0435816893080538
평일,13,176177.7949590909,0,133790.0473590909,169257.895255,140774.61765292208,1.2023324806486284
