시간범위,성별,생활인구,비중
주간(09-18시),남성,24575406.485,0.4926332780832966
주간(09-18시),여성,25310396.1753,0.5073667222975731
야간(19-08시),남성,28992482.7637,0.480583020960949
야간(19-08시),여성,31335247.341599997,0.5194169796606557
전체,남성,53567889.24869999,0.4860373125874501
전체,여성,56645643.5169,0.5139626879251911
