candidate_dong,candidate_internal_or_between,inbound_to_candidate,outbound_from_candidate,순유입
가양1동,12016.621875,32189.755,18221.3075,13968.447500000002
공항동,8892.7505,20963.2595,14912.72535714286,6050.534142857141
발산1동,8676.1075,21796.30875,12452.342142857144,9343.966607142856
방화1동,8619.419375,17355.661875,10298.245185185186,7057.416689814816
