admin_dong,CU,GS25,세븐일레븐,이마트24,미니스톱,기타/미분류,total
발산1동,10,6,12,5,0,2,35
가양1동,16,22,10,16,0,9,73
공항동,10,15,13,2,0,2,42
방화1동,8,9,9,2,0,3,31
