dong,one_person_households,share_of_gangseo_pct,rank_within_gangseo
가양1동,12797,11.988046614456476,1
공항동,5069,4.748566717877618,2
방화1동,4397,4.119046726870761,3
발산1동,2661,2.4927867501030465,4
